,Mouse,Amplitude,Day,TimeBin,SleepState,Proportion,Sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,9.0,nrem,62.93823038397329,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,9.0,wake,32.7212020033389,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,9.0,rem,4.340567612687813,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,10.0,wake,73.33333333333333,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,10.0,nrem,22.333333333333332,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,10.0,rem,4.333333333333334,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,11.0,wake,100.0,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,11.0,nrem,0.0,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,11.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,12.0,wake,99.83333333333333,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,12.0,nrem,0.16666666666666669,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,12.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,13.0,nrem,64.5,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,13.0,wake,31.666666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,13.0,rem,3.833333333333333,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,14.0,nrem,61.0,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,14.0,wake,28.333333333333332,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,14.0,rem,10.666666666666668,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,15.0,nrem,55.166666666666664,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,15.0,wake,40.166666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,15.0,rem,4.666666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,16.0,nrem,49.5,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,16.0,wake,44.333333333333336,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,16.0,rem,6.166666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,17.0,wake,71.83333333333334,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,17.0,nrem,28.166666666666668,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,17.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,18.0,wake,100.0,wake
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,18.0,nrem,0.0,sleep
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,18.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,19.0,nrem,55.666666666666664,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,19.0,wake,40.166666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,19.0,rem,4.166666666666666,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,20.0,nrem,61.33333333333333,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,20.0,wake,33.166666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,20.0,rem,5.5,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,21.0,nrem,74.5,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,21.0,wake,19.166666666666668,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,21.0,rem,6.333333333333334,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,22.0,nrem,53.0,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,22.0,wake,39.666666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,22.0,rem,7.333333333333333,sleep
0,Ca_EEG_Pilot1,1.5mA,PreNeutral,23.0,nrem,62.311557788944725,sleep
1,Ca_EEG_Pilot1,1.5mA,PreNeutral,23.0,wake,35.427135678391956,wake
2,Ca_EEG_Pilot1,1.5mA,PreNeutral,23.0,rem,2.261306532663317,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,0.0,nrem,59.432387312186975,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,0.0,wake,34.390651085141904,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,0.0,rem,6.176961602671119,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,1.0,wake,48.66666666666667,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,1.0,nrem,45.83333333333333,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,1.0,rem,5.5,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,2.0,nrem,70.16666666666667,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,2.0,wake,21.833333333333332,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,2.0,rem,8.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,3.0,nrem,58.833333333333336,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,3.0,wake,36.5,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,3.0,rem,4.666666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,4.0,nrem,64.321608040201,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,4.0,wake,26.968174204355112,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,4.0,rem,8.710217755443885,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,5.0,nrem,58.603066439523,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,5.0,wake,34.75298126064736,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,5.0,rem,6.643952299829642,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,6.0,wake,56.00000000000001,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,6.0,nrem,42.0,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,6.0,rem,2.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,7.0,wake,91.36442141623489,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,7.0,nrem,8.635578583765112,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,7.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,8.0,wake,55.952380952380956,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,8.0,nrem,43.53741496598639,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,8.0,rem,0.5102040816326531,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,9.0,wake,71.0,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,9.0,nrem,28.833333333333332,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,9.0,rem,0.16666666666666669,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,10.0,wake,100.0,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,10.0,nrem,0.0,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,10.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,11.0,wake,100.0,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,11.0,nrem,0.0,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,11.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,12.0,nrem,62.604340567612695,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,12.0,wake,34.223706176961606,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,12.0,rem,3.1719532554257093,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,13.0,nrem,53.333333333333336,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,13.0,wake,44.166666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,13.0,rem,2.5,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,14.0,nrem,57.333333333333336,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,14.0,wake,35.833333333333336,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,14.0,rem,6.833333333333333,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,15.0,nrem,70.51926298157454,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,15.0,wake,19.932998324958124,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,15.0,rem,9.547738693467336,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,16.0,wake,51.33333333333333,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,16.0,nrem,45.33333333333333,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,16.0,rem,3.3333333333333335,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,17.0,wake,70.5,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,17.0,nrem,28.000000000000004,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,17.0,rem,1.5,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,18.0,wake,98.33333333333333,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,18.0,nrem,1.6666666666666667,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,18.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,19.0,nrem,72.5,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,19.0,wake,23.5,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,19.0,rem,4.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,20.0,wake,55.833333333333336,wake
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,20.0,nrem,40.33333333333333,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,20.0,rem,3.833333333333333,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,21.0,nrem,82.33333333333334,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,21.0,rem,9.166666666666666,sleep
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,21.0,wake,8.5,wake
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,22.0,nrem,68.44827586206897,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,22.0,wake,24.482758620689655,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,22.0,rem,7.06896551724138,sleep
0,Ca_EEG_Pilot1,1.5mA,PostNeutral,23.0,nrem,62.66666666666667,sleep
1,Ca_EEG_Pilot1,1.5mA,PostNeutral,23.0,wake,32.666666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PostNeutral,23.0,rem,4.666666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,0.0,nrem,60.16666666666667,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,0.0,wake,39.5,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,0.0,rem,0.33333333333333337,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,1.0,nrem,80.5,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,1.0,rem,10.5,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,1.0,wake,9.0,wake
0,Ca_EEG_Pilot1,1.5mA,PostAversive,2.0,nrem,59.5,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,2.0,wake,36.5,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,2.0,rem,4.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,3.0,nrem,50.0,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,3.0,wake,41.16666666666667,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,3.0,rem,8.833333333333334,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,4.0,nrem,72.16666666666667,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,4.0,wake,21.0,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,4.0,rem,6.833333333333333,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,5.0,nrem,55.50000000000001,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,5.0,wake,39.83333333333333,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,5.0,rem,4.666666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,6.0,nrem,61.66666666666667,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,6.0,wake,34.333333333333336,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,6.0,rem,4.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,7.0,wake,86.0,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,7.0,nrem,13.166666666666666,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,7.0,rem,0.8333333333333334,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,8.0,wake,84.5,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,8.0,nrem,15.5,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,8.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,9.0,wake,65.83333333333333,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,9.0,nrem,31.333333333333336,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,9.0,rem,2.833333333333333,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,10.0,wake,57.095158597662774,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,10.0,nrem,41.90317195325542,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,10.0,rem,1.001669449081803,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,11.0,nrem,50.841750841750844,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,11.0,wake,45.45454545454545,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,11.0,rem,3.7037037037037033,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,12.0,wake,100.0,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,12.0,nrem,0.0,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,12.0,rem,0.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,13.0,wake,63.66666666666667,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,13.0,nrem,35.66666666666667,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,13.0,rem,0.6666666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,14.0,nrem,59.166666666666664,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,14.0,wake,35.16666666666667,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,14.0,rem,5.666666666666666,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,15.0,nrem,53.666666666666664,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,15.0,wake,39.166666666666664,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,15.0,rem,7.166666666666667,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,16.0,wake,54.833333333333336,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,16.0,nrem,43.166666666666664,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,16.0,rem,2.0,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,17.0,wake,74.83333333333333,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,17.0,nrem,24.833333333333332,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,17.0,rem,0.33333333333333337,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,18.0,wake,90.16666666666666,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,18.0,nrem,9.666666666666666,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,18.0,rem,0.16666666666666669,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,19.0,wake,77.98319327731093,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,19.0,nrem,21.680672268907564,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,19.0,rem,0.33613445378151263,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,20.0,nrem,60.37099494097807,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,20.0,wake,36.930860033726816,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,20.0,rem,2.6981450252951094,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,21.0,nrem,73.62270450751252,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,21.0,wake,17.028380634390654,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,21.0,rem,9.348914858096828,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,22.0,wake,60.665362035225044,wake
1,Ca_EEG_Pilot1,1.5mA,PostAversive,22.0,nrem,37.573385518590996,sleep
2,Ca_EEG_Pilot1,1.5mA,PostAversive,22.0,rem,1.761252446183953,sleep
0,Ca_EEG_Pilot1,1.5mA,PostAversive,23.0,nrem,67.03499079189686,sleep
1,Ca_EEG_Pilot1,1.5mA,PostAversive,23.0,wake,29.097605893186003,wake
2,Ca_EEG_Pilot1,1.5mA,PostAversive,23.0,rem,3.867403314917127,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,0.0,nrem,59.66666666666667,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,0.0,wake,33.666666666666664,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,0.0,rem,6.666666666666667,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,1.0,nrem,87.0,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,1.0,rem,9.833333333333332,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,1.0,wake,3.166666666666667,wake
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,2.0,nrem,70.5,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,2.0,wake,21.0,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,2.0,rem,8.5,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,3.0,wake,59.5,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,3.0,nrem,36.16666666666667,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,3.0,rem,4.333333333333334,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,4.0,nrem,84.16666666666667,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,4.0,rem,11.166666666666666,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,4.0,wake,4.666666666666667,wake
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,5.0,wake,83.83333333333334,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,5.0,nrem,12.833333333333332,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,5.0,rem,3.3333333333333335,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,6.0,nrem,80.5,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,6.0,rem,11.833333333333334,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,6.0,wake,7.666666666666666,wake
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,7.0,wake,61.0,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,7.0,nrem,37.166666666666664,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,7.0,rem,1.8333333333333333,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,8.0,wake,65.83333333333333,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,8.0,nrem,33.83333333333333,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,8.0,rem,0.33333333333333337,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,9.0,wake,76.66666666666667,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,9.0,nrem,22.166666666666668,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,9.0,rem,1.1666666666666667,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,10.0,nrem,49.666666666666664,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,10.0,wake,44.5,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,10.0,rem,5.833333333333333,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,11.0,wake,84.66666666666667,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,11.0,nrem,15.333333333333332,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,11.0,rem,0.0,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,12.0,nrem,51.83333333333333,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,12.0,wake,45.666666666666664,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,12.0,rem,2.5,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,13.0,wake,59.833333333333336,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,13.0,nrem,40.0,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,13.0,rem,0.16666666666666669,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,14.0,wake,67.83333333333333,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,14.0,nrem,31.833333333333336,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,14.0,rem,0.33333333333333337,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,15.0,wake,58.166666666666664,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,15.0,nrem,40.666666666666664,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,15.0,rem,1.1666666666666667,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,16.0,wake,72.5,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,16.0,nrem,27.333333333333332,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,16.0,rem,0.16666666666666669,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,17.0,wake,85.0,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,17.0,nrem,15.0,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,17.0,rem,0.0,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,18.0,wake,76.33333333333333,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,18.0,nrem,23.666666666666668,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,18.0,rem,0.0,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,19.0,nrem,70.83333333333334,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,19.0,wake,23.166666666666664,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,19.0,rem,6.0,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,20.0,nrem,70.5,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,20.0,wake,21.333333333333336,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,20.0,rem,8.166666666666666,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,21.0,nrem,77.66666666666666,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,21.0,wake,12.0,wake
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,21.0,rem,10.333333333333334,sleep
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,22.0,nrem,81.33333333333333,sleep
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,22.0,rem,9.833333333333332,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,22.0,wake,8.833333333333334,wake
0,Ca_EEG_Pilot2,1.5mA,PreNeutral,23.0,wake,52.300242130750604,wake
1,Ca_EEG_Pilot2,1.5mA,PreNeutral,23.0,nrem,41.162227602905574,sleep
2,Ca_EEG_Pilot2,1.5mA,PreNeutral,23.0,rem,6.5375302663438255,sleep
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,nrem,60.0,sleep
1,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,wake,35.66666666666667,wake
2,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,rem,4.333333333333334,sleep
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,1.0,nrem,86.0,sleep
1,Ca_EEG_Pilot2,1.5mA,PostNeutral,1.0,rem,9.5,sleep
2,Ca_EEG_Pilot2,1.5mA,PostNeutral,1.0,wake,4.5,wake
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,2.0,nrem,77.66666666666666,sleep
1,Ca_EEG_Pilot2,1.5mA,PostNeutral,2.0,wake,13.333333333333334,wake
2,Ca_EEG_Pilot2,1.5mA,PostNeutral,2.0,rem,9.0,sleep
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,3.0,nrem,52.0,sleep
1,Ca_EEG_Pilot2,1.5mA,PostNeutral,3.0,wake,41.5,wake
2,Ca_EEG_Pilot2,1.5mA,PostNeutral,3.0,rem,6.5,sleep
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,4.0,nrem,85.5,sleep
1,Ca_EEG_Pilot2,1.5mA,PostNeutral,4.0,rem,12.333333333333334,sleep
2,Ca_EEG_Pilot2,1.5mA,PostNeutral,4.0,wake,2.166666666666667,wake
0,Ca_EEG_Pilot2,1.5mA,PostNeutral,5.0,wake,67.33333333333333,wake
